"date","items","amount","category","traveling_category","trip"
"2024-01-01","1 Saved for Love","100.00","Saved For Love",NULL,NULL
"2024-01-02","sobeys","10.77","Grocery",NULL,NULL
"2024-01-02","sobeys","76.55","Grocery",NULL,NULL
"2024-01-07","Tim","39.84","Food Outside",NULL,NULL
"2024-01-08","Sister Envelop","200.00","Gifts",NULL,NULL
"2024-01-09","sobeys","130.00","Grocery",NULL,NULL
"2024-01-09","Petro","66.71","Gas",NULL,NULL
"2024-01-11","superstore","200.00","Grocery",NULL,NULL
"2024-01-12","Leonhard's cafe","43.00","Food Outside",NULL,NULL
"2024-01-13","Sindy's birthday","100.00","Gifts",NULL,NULL
"2024-01-16","Top Fresh Pot","39.46","Grocery",NULL,NULL
"2024-01-16","sobeys","100.00","Grocery",NULL,NULL
"2024-01-16","Petro","30.08","Gas",NULL,NULL
"2024-01-17","rogers","40.25","Cell Phone",NULL,NULL
"2024-01-20","superstore","28.75","Grocery",NULL,NULL
"2024-01-23","superstore","10.67","Grocery",NULL,NULL
"2024-01-23","Petro","72.43","Gas",NULL,NULL
"2024-01-25","sobeys","1.08","Grocery",NULL,NULL
"2024-01-25","splendid essence","63.78","Food Outside",NULL,NULL
"2024-01-25","alambe coffee","3.44","Food Outside",NULL,NULL
"2024-01-27","Parking Violence","10.00","Others",NULL,NULL
"2024-01-27","Port for Phil","25.09","Gifts",NULL,NULL
"2024-01-28","Great Enlightment","20.00","Donation",NULL,NULL
"2024-01-28","Mac Donald","18.26","Food Outside",NULL,NULL
"2024-01-28","Great Enlightment","20.00","Donation",NULL,NULL
"2024-01-29","Petro","60.02","Gas",NULL,NULL
"2024-01-29","Wire transfer fee","17.00","Others",NULL,NULL
"2024-01-29","A & W","16.77","Food Outside",NULL,NULL
"2024-01-30","Tim Lunch","10.34","Food Outside",NULL,NULL
"2024-01-31","Flight Ticket for Dad' health","172.64","Gifts",NULL,NULL
"2024-01-31","Superstore ","200.00","Grocery",NULL,NULL
"2024-01-31","Dishes Sponge ","2.88","Household Goods",NULL,NULL
"2024-02-01","2 Saved for Love","100.00","Saved For Love",NULL,NULL
"2024-02-06","Sobeys","17.69","Grocery",NULL,NULL
"2024-02-08","Hair Cut","26.45","Others",NULL,NULL
"2024-02-13","Petros","67.34","Gas",NULL,NULL
"2024-02-13","Tims","12.40","Food Outside",NULL,NULL
"2024-02-13","Irving","20.18","Gas",NULL,NULL
"2024-02-14","Hunter's Valentine","82.24","Gifts",NULL,NULL
"2024-02-16","Rogers","40.25","Cell Phone",NULL,NULL
"2024-02-17","Petros","45.01","Gas",NULL,NULL
"2024-02-17","Bridge","50.25","Traveling","Others","Halifax-Feb24"
"2024-02-17","Thai food","39.77","Traveling","Food","Halifax-Feb24"
"2024-02-17","IKEA","27.88","Traveling","Food","Halifax-Feb24"
"2024-02-18","Petros","60.98","Traveling","Gas/Parking","Halifax-Feb24"
"2024-02-18","Korean BBQ","51.42","Traveling","Food","Halifax-Feb24"
"2024-02-18","New Asia","22.04","Grocery",NULL,NULL
"2024-02-18","Breakfast Cafe","11.00","Traveling","Food","Halifax-Feb24"
"2024-02-18","Fan's","73.10","Traveling","Food","Halifax-Feb24"
"2024-02-19","BlueNose Breakfast","32.90","Traveling","Food","Halifax-Feb24"
