"date","amount","source","regular","notes"
"2024-01-04","1573.90","Gov",True,NULL
"2024-01-05","181.58","Other",False,NULL
"2024-01-18","1573.90","Gov",True,NULL
"2024-01-31","441.25","Other",False,"Property Management"
"2024-02-01","1573.90","Gov",True,NULL
"2024-02-15","1573.90","Gov",True,NULL
"2024-02-29","1573.90","Gov",True,NULL
"2024-02-29","228.75","Tax Return",False,NULL
"2024-03-06","441.25","Other",False,"Property Management"
"2024-03-14","1573.90","Gov",True,NULL
"2024-03-17","200.00","Other",False,"Sister"
"2024-03-17","184.00","Tax Return",False,"Income Tax Return"
"2024-03-19","36.94","Other",False,"Air Canada Refund"
"2024-03-23","27.35","Other",False,"Marvin allmend milk"
"2024-03-28","1705.26","Gov",True,NULL
"2024-03-31","941.25","Other",False,"Property Management"
"2024-04-05","200.00","Other",False,"given by Eva"
"2024-04-08","1347.65","Tax Return",False,NULL
"2024-04-11","1574.02","Gov",True,NULL
"2024-04-15","108.75","Tax Return",False,NULL
"2024-04-22","110.00","Tax Return",False,NULL
"2024-04-25","1591.14","Gov",True,NULL
"2024-05-09","1591.14","Gov",True,NULL
"2024-05-23","1591.14","Gov",True,NULL
"2024-06-06","1591.14","Gov",True,NULL
"2024-06-16","30.00","Other",False,"trimming"
"2024-06-20","1591.14","Gov",True,NULL
"2024-07-01","200.00","Other",False,"Sister"
"2024-07-04","1591.14","Gov",True,NULL
"2024-07-05","157.25","Tax Return",False,"Fed GST"
"2024-07-15","110.00","Tax Return",False,"Carbon Rebate"
"2024-07-18","1591.14","Gov",True,NULL
"2024-08-01","1591.14","Gov",True,NULL
"2024-08-01","200.00","Other",False,"Sister"
"2024-08-15","1591.14","Gov",True,NULL
"2024-08-29","1591.14","Gov",True,NULL
"2024-09-12","1591.14","Gov",True,NULL
"2024-09-26","1747.47","Gov",True,NULL
"2024-10-04","157.25","Tax Return",False,"GST"
"2024-10-10","1747.47","Gov",True,NULL
"2024-10-15","110.00","Tax Return",False,"Carbon Rebate"
"2024-10-24","1766.55","Gov",True,NULL
"2024-11-05","200.00","Other",False,"Sister + Hair Cut"
"2024-11-08","1714.66","Gov",True,NULL
"2024-11-21","1714.64","Gov",True,NULL
"2024-12-02","100.00","Other",False,"Fixing Gutter"
"2024-12-05","1713.85","Gov",True,NULL
"2024-12-07","200.00","Other",False,"Sister"
"2024-12-19","1713.83","Gov",True,NULL
"2025-01-02","1717.85","Gov",True,NULL
"2025-01-03","157.25","Tax Return",False,"GST"
"2025-01-06","239.55","Other",False,"Cash Back"
"2025-01-15","110.00","Tax Return",False,"Carbon Rebate"
"2025-01-16","200.00","Other",False,"Sister"
"2025-01-16","1717.86","Gov",True,NULL
"2025-01-30","1772.61","Gov",True,NULL
"2025-02-13","1717.85","Gov",True,NULL
"2025-02-13","189.18","Other",False,"Sister"
"2025-02-17","280.00","Other",False,"Cash from travel"
"2025-02-27","1717.85","Gov",True,NULL
"2025-03-13","1717.85","Gov",True,NULL
"2025-03-27","1717.85","Gov",True,NULL
"2025-04-04","157.25","Tax Return",False,"GST"
"2025-04-10","1713.07","Gov",True,NULL
"2025-04-22","110.00","Tax Return",False,"Carbon Rebate"
"2025-04-24","1713.08","Gov",True,NULL
"2025-05-08","1713.06","Gov",True,NULL
"2025-05-22","1713.07","Gov",True,NULL
"2025-05-31","330.00","Other",False,"Dog Care"
"2025-06-05","1713.08","Gov",True,NULL
"2025-06-19","1713.07","Gov",True,NULL
