"date","account_name","transaction_type","amount","fund_category","source_notes","transfer_to_account"
"2023-12-31","RBC Chequing","Deposit","2883.26","Medium-term Saving","saved from 2023 Sep to Dec",NULL
"2023-12-31","RBC Chequing","Deposit","582.00","Traveling Funds","saved from 2023 Sep to Dec",NULL
"2023-12-31","RBC Chequing","Deposit","2883.26","Retirement Saving","saved from 2023 Sep to Dec",NULL
"2024-01-01","RBC Chequing","Deposit","5000.00","Parents Support","New Home Support",NULL
"2024-01-02","Questrade TFSA (Retire)","Transfer In","250.00","Retirement Saving","Open Account Deposit",NULL
"2024-01-02","RBC Chequing","Transfer Out","-800.00","Retirement Saving","July Deposit","Questrade TFSA (Retire)"
"2024-01-02","RBC Chequing","Transfer Out","-250.00","Retirement Saving","Open Account Deposit","Questrade TFSA (Retire)"
"2024-01-02","Questrade TFSA (Retire)","Transfer In","800.00","Retirement Saving","July Deposit",NULL
"2024-01-31","RBC Chequing","Deposit","872.70","Retirement Saving","saved from 2024 01",NULL
"2024-01-31","RBC Chequing","Deposit","591.05","Medium-term Saving","saved from 2024 01",NULL
"2024-01-31","RBC Chequing","Deposit","377.06","Traveling Funds","saved from 2024 01",NULL
"2024-02-01","RBC Chequing","Deposit","541.94","Traveling Funds","Halifax trip funds Feb",NULL
"2024-02-17","RBC Chequing","Withdrawal","-541.94","Traveling Funds","Halifax trip spending Feb",NULL
"2024-02-22","RBC Chequing","Withdrawal","-4727.78","Medium-term Saving","Downpayment & Lawyer Fee",NULL
"2024-02-29","RBC Chequing","Deposit","749.30","Retirement Saving","saved from 2024 02",NULL
"2024-02-29","RBC Chequing","Deposit","0.00","Traveling Funds","saved from 2024 02",NULL
"2024-02-29","RBC Chequing","Deposit","976.31","Medium-term Saving","saved from 2024 02",NULL
"2024-03-31","RBC Chequing","Deposit","576.88","Retirement Saving","saved from 2024 03",NULL
"2024-03-31","RBC Chequing","Deposit","468.41","Medium-term Saving","saved from 2024 03",NULL
"2024-03-31","RBC Chequing","Deposit","428.47","Traveling Funds","saved from 2024 03",NULL
"2024-04-30","RBC Chequing","Deposit","1087.47","Retirement Saving","saved from 2024 04",NULL
"2024-04-30","RBC Chequing","Deposit","904.31","Medium-term Saving","saved from 2024 04",NULL
"2024-04-30","RBC Chequing","Deposit","493.16","Traveling Funds","saved from 2024 04",NULL
"2024-05-31","RBC Chequing","Deposit","305.26","Retirement Saving","saved from 2024 05",NULL
"2024-05-31","RBC Chequing","Deposit","318.23","Traveling Funds","saved from 2024 05",NULL
"2024-05-31","RBC Chequing","Deposit","193.85","Medium-term Saving","saved from 2024 05",NULL
"2024-06-01","RBC Chequing","Deposit","442.32","Traveling Funds","Halifax trip funds June",NULL
"2024-06-27","Questrade TFSA (Retire)","Transfer In","2200.00","Retirement Saving","June Deposit",NULL
"2024-06-27","RBC Chequing","Transfer Out","-2200.00","Retirement Saving","June Deposit","Questrade TFSA (Retire)"
"2024-06-30","RBC Chequing","Deposit","0.00","Traveling Funds","saved from 2024 06",NULL
"2024-06-30","RBC Chequing","Deposit","117.38","Retirement Saving","saved from 2024 06",NULL
"2024-06-30","RBC Chequing","Deposit","451.06","Medium-term Saving","saved from 2024 06",NULL
"2024-07-01","RBC Chequing","Withdrawal","-442.32","Traveling Funds","Halifax trip spending July",NULL
"2024-07-01","RBC Chequing","Deposit","7000.00","Parents Support","Travel Support",NULL
"2024-07-08","RBC Chequing","Withdrawal","-1466.31","Parents Support","trip in Toronto parent spending",NULL
"2024-07-11","RBC Chequing","Withdrawal","-966.65","Traveling Funds","0705-0708 trip in Toronto",NULL
"2024-07-31","RBC Chequing","Deposit","534.26","Medium-term Saving","saved from 2024 07",NULL
"2024-07-31","RBC Chequing","Deposit","300.00","Traveling Funds","saved from 2024 07",NULL
"2024-07-31","RBC Chequing","Deposit","228.97","Retirement Saving","saved from 2024 07",NULL
"2024-08-14","RBC Chequing","Withdrawal","-833.10","Parents Support","trip in maritime",NULL
"2024-08-20","RBC Chequing","Withdrawal","-2208.66","Parents Support","trip from PEI to YYZ",NULL
"2024-08-24","RBC Chequing","Withdrawal","-763.79","Traveling Funds","0820-0824 road trip back to PEI",NULL
"2024-08-26","RBC Chequing","Withdrawal","-5000.00","Parents Support","borrow for pre-pay Mortgage",NULL
"2024-08-26","Questrade TFSA (Retire)","Transfer In","1000.00","Retirement Saving","August Deposit",NULL
"2024-08-26","RBC Chequing","Transfer Out","-1000.00","Retirement Saving","August Deposit","Questrade TFSA (Retire)"
"2024-08-31","RBC Chequing","Deposit","500.00","Traveling Funds","saved from 2024 08",NULL
"2024-08-31","RBC Chequing","Deposit","954.44","Medium-term Saving","saved from 2024 08",NULL
"2024-08-31","RBC Chequing","Deposit","1431.65","Retirement Saving","saved from 2024 08",NULL
"2024-09-07","Questrade TFSA (Retire)","Transfer In","3500.00","Retirement Saving","September Deposit",NULL
"2024-09-07","RBC Chequing","Transfer Out","-3500.00","Retirement Saving","September Deposit","Questrade TFSA (Retire)"
"2024-09-30","RBC Chequing","Deposit","456.76","Retirement Saving","saved from 2024 09",NULL
"2024-09-30","RBC Chequing","Deposit","400.00","Traveling Funds","saved from 2024 09",NULL
"2024-09-30","RBC Chequing","Deposit","456.76","Medium-term Saving","saved from 2024 09",NULL
"2024-10-04","RBC Chequing","Transfer Out","-2000.00","Medium-term Saving","Oct Deposit for buying TD & Telus","Questrade TFSA (Medium)"
"2024-10-04","Questrade TFSA (Medium)","Transfer In","2000.00","Medium-term Saving","Oct Deposit for buying TD & Telus",NULL
"2024-10-31","RBC Chequing","Deposit","400.00","Traveling Funds","saved from 2024 10",NULL
"2024-10-31","RBC Chequing","Deposit","113.80","Retirement Saving","saved from 2024 10",NULL
